modelo,reamostragem,parametros,threshold,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,taxa_concessao_indevida,taxa_negacao_indevida,tempo_treino_s,tempo_inferencia_por_amostra_ms
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.5,0.950559511698881,0.615819209039548,0.38380281690140844,0.47288503253796094,0.963064584212748,0.985316346361477,0.9740634005763689,0.7234742165571649,0.8564139099333639,0.44197938547088267,0.6161971830985915,0.014683653638522998,57.12809245599965,0.08039778718223124
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.9503560528992879,0.6149425287356322,0.3767605633802817,0.4672489082969432,0.9626661041974267,0.9855322824443965,0.9739650021340163,0.7206069552154797,0.855457024157469,0.4368069459822556,0.6232394366197183,0.014467717555603542,38.11681139199936,0.07817206042701777
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.5,0.9487283825025432,0.5888888888888889,0.3732394366197183,0.45689655172413796,0.9624076029567054,0.9840207298639603,0.9730941704035875,0.7149953610638627,0.8356635168384525,0.3944475306585913,0.6267605633802817,0.015979270136039732,74.48899603499922,0.08302663296020195
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.948118006103764,0.5783783783783784,0.3767605633802817,0.4562899786780384,0.9625792811839323,0.9831569855322825,0.9727593205854076,0.714524649631723,0.8337653322222255,0.3909820782056745,0.6232394366197183,0.016843014467717556,38.00545630099987,0.04683450457796259
Extra Trees,com undersampling,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.9338758901322483,0.42955326460481097,0.44014084507042256,0.43478260869565216,0.965614186851211,0.9641546102353703,0.9648838465694219,0.6998332276325371,0.8415447337447269,0.3594843364569401,0.5598591549295775,0.03584538976462967,5.720980481000879,0.03435943906403837
Extra Trees,com undersampling,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.5,0.9338758901322483,0.4280701754385965,0.4295774647887324,0.4288224956063269,0.9650107991360691,0.9648024184841287,0.9649065975596588,0.6968645465829928,0.8418241580773781,0.36589225298566613,0.5704225352112676,0.0351975815158713,9.079109461999906,0.0312773532045742
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.5,0.901322482197355,0.32085561497326204,0.6338028169014085,0.4260355029585799,0.9761139182361047,0.9177283524076874,0.9460211463550362,0.6860283246568081,0.8486059957238572,0.43434407880596615,0.36619718309859156,0.08227164759231267,15.291495338999084,0.061455909053805456
Random Forest,com undersampling,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.9363173957273652,0.44357976653696496,0.4014084507042254,0.4214417744916821,0.9635036496350365,0.9691211401425178,0.9663042308106362,0.6938730026511591,0.8453528882211429,0.35638254615344067,0.5985915492957746,0.030878859857482184,3.076274865999949,0.015725733469003984
Random Forest,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.5,0.8992878942014242,0.31523642732049034,0.6338028169014085,0.42105263157894735,0.9760589318600368,0.9155689915784928,0.9448467966573816,0.6829497141181644,0.8447461382416721,0.42354789983990704,0.36619718309859156,0.08443100842150723,8.45221981100076,0.031075643336789784
Extra Trees,com undersampling,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.5,0.896236012207528,0.30976430976430974,0.647887323943662,0.4191343963553531,0.9768572089794029,0.9114662060030231,0.943029490616622,0.6810819434859876,0.8323811363104128,0.32655007833262256,0.352112676056338,0.08853379399697689,23.955811308000193,0.062301398576109356
