modelo,reamostragem,parametros,threshold,atende_recall_1_minimo,accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,f1_macro,auc_roc,pr_auc_0,taxa_concessao_indevida,taxa_negacao_indevida,negados_corretamente_tn,concessoes_indevidas_fp,negacoes_indevidas_fn,concedidos_corretamente_tp
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.55,True,0.9468972533062054,0.5473251028806584,0.46830985915492956,0.5047438330170778,0.967679794520548,0.9762470308788599,0.9719445340212834,0.7383441835191806,0.8356635168384525,0.3944475306585913,0.5316901408450704,0.023752969121140142,133,151,110,4521
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.6,True,0.9464903357070193,0.5425101214574899,0.47183098591549294,0.504708097928437,0.967866323907455,0.9755992226301015,0.9717173889665556,0.7382127434474963,0.8564139099333639,0.44197938547088267,0.528169014084507,0.02440077736989851,134,150,113,4518
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.55,True,0.9497456765005087,0.5868544600938967,0.44014084507042256,0.5030181086519114,0.966184602296895,0.9809976247030879,0.9735347690988964,0.738276438875404,0.8564139099333639,0.44197938547088267,0.5598591549295775,0.019002375296912115,125,159,88,4543
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.6,True,0.9462868769074263,0.540650406504065,0.46830985915492956,0.5018867924528302,0.9676590276290427,0.9755992226301015,0.9716129032258064,0.7367498478393183,0.855457024157469,0.43680694598225567,0.5316901408450704,0.02440077736989851,133,151,113,4518
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 200}",0.8,True,0.9424211597151577,0.501779359430605,0.4964788732394366,0.49911504424778763,0.9691411307725507,0.9697689483912761,0.9694549379384781,0.7342849910931328,0.859112730800697,0.423028453545733,0.5035211267605634,0.030231051608723816,141,143,140,4491
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.55,True,0.945676500508647,0.5341365461847389,0.46830985915492956,0.49906191369606,0.9676382340334333,0.9749514143813431,0.9712810584059374,0.7351714860509987,0.8337653322222255,0.3909820782056745,0.5316901408450704,0.025048585618656877,133,151,116,4515
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 100}",0.8,True,0.9424211597151577,0.5017921146953405,0.49295774647887325,0.49733570159857904,0.9689387402933564,0.9699848844741956,0.9694615301607856,0.7333986158796824,0.8595240738318922,0.42145241317008547,0.5070422535211268,0.03001511552580436,140,144,139,4492
Random Forest,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.9,True,0.9296032553407935,0.42326732673267325,0.602112676056338,0.49709302325581395,0.9749501219241853,0.9496868926797668,0.9621527018157953,0.7296228625358046,0.8539082149993462,0.4173381738377207,0.397887323943662,0.05031310732023321,171,113,233,4398
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.6,True,0.9434384537131231,0.5111940298507462,0.4823943661971831,0.4963768115942029,0.9683666881859264,0.9717123731375513,0.9700366458288424,0.7332067287115227,0.8356635168384525,0.3944475306585913,0.5176056338028169,0.028287626862448716,137,147,131,4500
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.65,True,0.9422177009155646,0.5,0.4894366197183099,0.49466192170818507,0.9687297821867586,0.9699848844741956,0.9693569270608545,0.7320094243845198,0.855457024157469,0.43680694598225567,0.5105633802816901,0.03001511552580436,139,145,139,4492
Random Forest,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.85,True,0.9442522889114954,0.5193798449612403,0.47183098591549294,0.4944649446494465,0.967790423019111,0.9732239257179874,0.9704995693367786,0.7324822569931125,0.8539082149993462,0.4173381738377207,0.528169014084507,0.026776074282012525,134,150,124,4507
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.65,True,0.9424211597151577,0.5018181818181818,0.4859154929577465,0.4937388193202147,0.9685344827586206,0.9704167566400346,0.9694747060726998,0.7316067626964573,0.8564139099333639,0.44197938547088267,0.5140845070422535,0.029583243359965452,138,146,137,4494
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'n_estimators': 200}",0.8,True,0.9442522889114954,0.51953125,0.46830985915492956,0.4925925925925926,0.9675896115046148,0.9734398618009069,0.9705059203444564,0.7315492564685244,0.8581630682388436,0.4005549676729754,0.5316901408450704,0.02656013819909307,133,151,123,4508
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.55,True,0.9487283825025432,0.5754716981132075,0.4295774647887324,0.49193548387096775,0.9655539017648309,0.980565752537249,0.9730019284336833,0.7324687061523255,0.855457024157469,0.43680694598225567,0.5704225352112676,0.019434247462751027,122,162,90,4541
Extra Trees,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.6,True,0.9436419125127162,0.5134099616858238,0.47183098591549294,0.4917431192660551,0.9677696605070907,0.9725761174692291,0.9701669359181475,0.7309550275921013,0.8337653322222255,0.3909820782056745,0.528169014084507,0.027423882530770893,134,150,127,4504
Random Forest,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.85,True,0.943031536113937,0.5075187969924813,0.4753521126760563,0.4909090909090909,0.9679500967950097,0.9717123731375513,0.9698275862068966,0.7303683385579938,0.8608060042396466,0.41737282629325334,0.5246478873239436,0.028287626862448716,135,149,131,4500
Random Forest,sem reamostragem,"{'max_depth': 40, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.9,True,0.9287894201424212,0.417910447761194,0.5915492957746479,0.4897959183673469,0.9742964768446709,0.9494709565968473,0.9617235345581803,0.7257597264627635,0.8608060042396466,0.41737282629325334,0.4084507042253521,0.05052904340315267,168,116,234,4397
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 100}",0.75,True,0.930824008138352,0.42670157068062825,0.573943661971831,0.4894894894894895,0.9733068607985881,0.9527099978406391,0.9628982976865997,0.7261938935880446,0.855457024157469,0.43680694598225567,0.426056338028169,0.04729000215936083,163,121,219,4412
Random Forest,sem reamostragem,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'n_estimators': 200}",0.7,True,0.9371312309257376,0.4608150470219436,0.5176056338028169,0.48756218905472637,0.9701914708442123,0.9628589937378536,0.9665113254578953,0.7270367572563108,0.8564139099333639,0.44197938547088267,0.4823943661971831,0.037141006262146406,147,137,172,4459
