feature_codificada,importancia
categorical__RESOURCE_infrequent_sklearn,0.04560970482052494
categorical__ROLE_FAMILY_DESC_infrequent_sklearn,0.01629680823011113
categorical__MGR_ID_infrequent_sklearn,0.015063059114838637
categorical__RESOURCE__ROLE_CODE_infrequent_sklearn,0.011387370017192797
categorical__ROLE_FAMILY_DESC_117906,0.010673966531792018
categorical__ROLE_DEPTNAME_118992,0.008506066459233541
categorical__RESOURCE_20897,0.008326854255335178
categorical__ROLE_ROLLUP_2_118343,0.0061120239430400534
categorical__RESOURCE_32270,0.005814818166861057
categorical__ROLE_DEPTNAME_infrequent_sklearn,0.005697761725354201
categorical__ROLE_ROLLUP_1_117961,0.005677480550200294
categorical__ROLE_ROLLUP_2_118300,0.00535834599114302
categorical__ROLE_ROLLUP_2_118052,0.004896146965484797
categorical__ROLE_DEPTNAME_117941,0.004765549718162491
categorical__RESOURCE_27416,0.004745875380578719
categorical__ROLE_ROLLUP_2_118386,0.004435949850963767
categorical__ROLE_FAMILY_DESC_125047,0.004309804727997402
categorical__ROLE_DEPTNAME_117920,0.004266767991614447
categorical__ROLE_DEPTNAME_118522,0.004088288134561116
categorical__ROLE_DEPTNAME_117945,0.003988076766622779
